go|가다|I go to school.
look for|찾다|Look for your bag.
look at|~을 보다|Look at the board.
listen to|~을 듣다|Listen to the teacher.
talk to|~에게 말하다|Talk to your friend.
talk about|~에 대해 말하다|Talk about your day.
get|얻다 / 받다|I get a sticker.
become|~이 되다|I become happy.
feel|느끼다|I feel good.
seem|~처럼 보이다|You seem tired.
keep|유지하다 / 보관하다|Keep quiet.
let|~하게 하다|Let me try.
begin|시작하다|Begin the game.
end|끝나다|The class ends.
win|이기다|We win the game.
lose|지다 / 잃다|Don't lose your bag.
join|참여하다|Join the club.
practice|연습하다|Practice every day.
review|복습하다|Review the words.
prepare|준비하다|Prepare your books.
follow|따르다|Follow the rules.
lead|이끌다|Lead the team.
arrive|도착하다|I arrive at school.
return|돌아오다 / 돌려주다|Return the book.
enter|들어가다|Enter the room.
exit|나가다|Exit the room.
cross|건너다|Cross the street.
pass|지나가다 / 통과하다|Pass the test.
miss|놓치다 / 그리워하다|I miss the bus.
catch up|따라잡다|Catch up with the class.
hurry|서두르다|Hurry up.
rest|쉬다|Rest for a while.
relax|쉬다 / 긴장을 풀다|Relax at home.
exercise|운동하다|I exercise daily.
skate|스케이트 타다|I skate in winter.
ski|스키 타다|I ski well.
shop|쇼핑하다|I shop with mom.
travel|여행하다|I travel to Seoul.
camp|캠핑하다|We camp outside.
hope|바라다|I hope so.
wish|바라다 / 소원하다|Make a wish.
dream|꿈꾸다|I dream at night.
plan|계획하다|Plan your day.
decide|결정하다|Decide now.
guess|추측하다|Guess the word.
compare|비교하다|Compare the answers.
match|맞추다 / 어울리다|Match the cards.
order|주문하다 / 정리하다|Order the words.
sort|분류하다|Sort the cards.
mix|섞다|Mix the colors.
shake|흔들다|Shake the bottle.
fold|접다|Fold the paper.
bend|구부리다|Bend your knees.
cover|덮다|Cover the box.
hide|숨기다|Hide the toy.
seek|찾다|Seek the treasure.
believe|믿다|I believe you.
worry|걱정하다|Don't worry.
care|돌보다 / 신경 쓰다|Care for your pet.
thank|감사하다|Thank your teacher.
welcome|환영하다|Welcome your friend.
invite|초대하다|Invite your friend.
enjoy|즐기다|Enjoy the game.
hate|싫어하다|I hate bugs.
prefer|더 좋아하다|I prefer milk.
agree|동의하다|I agree with you.
promise|약속하다|I promise.
explain|설명하다|Explain your idea.
describe|묘사하다|Describe the picture.
introduce|소개하다|Introduce yourself.
spell|철자를 말하다|Spell your name.
repeat|반복하다|Repeat after me.
read aloud|소리 내어 읽다|Read aloud, please.
solve|풀다 / 해결하다|Solve the problem.
